,Gender,Ethnicity,Child's First Name
151,FEMALE,HISPANIC,PERLA
152,FEMALE,HISPANIC,RACHEL
153,FEMALE,HISPANIC,RAQUEL
154,FEMALE,HISPANIC,REBECCA
155,FEMALE,HISPANIC,RIHANNA
156,FEMALE,HISPANIC,RILEY
157,FEMALE,HISPANIC,ROSA
158,FEMALE,HISPANIC,ROSE
159,FEMALE,HISPANIC,ROSELYN
160,FEMALE,HISPANIC,RUBY
161,FEMALE,HISPANIC,SABRINA
162,FEMALE,HISPANIC,SADIE
163,FEMALE,HISPANIC,SAMANTHA
164,FEMALE,HISPANIC,SAMARA
165,FEMALE,HISPANIC,SARA
166,FEMALE,HISPANIC,SARAH
167,FEMALE,HISPANIC,SARAI
168,FEMALE,HISPANIC,SARIAH
169,FEMALE,HISPANIC,SASHA
170,FEMALE,HISPANIC,SAVANNA
171,FEMALE,HISPANIC,SAVANNAH
172,FEMALE,HISPANIC,SCARLET
173,FEMALE,HISPANIC,SCARLETT
174,FEMALE,HISPANIC,SELENA
175,FEMALE,HISPANIC,SERENITY
176,FEMALE,HISPANIC,SHERLYN
177,FEMALE,HISPANIC,SHIRLEY
178,FEMALE,HISPANIC,SIENNA
179,FEMALE,HISPANIC,SKYLA
180,FEMALE,HISPANIC,SKYLAR
181,FEMALE,HISPANIC,SOFIA
182,FEMALE,HISPANIC,SOPHIA
183,FEMALE,HISPANIC,SOPHIE
184,FEMALE,HISPANIC,STACY
185,FEMALE,HISPANIC,STELLA
186,FEMALE,HISPANIC,STEPHANIE
187,FEMALE,HISPANIC,STEPHANY
188,FEMALE,HISPANIC,TATIANA
189,FEMALE,HISPANIC,TAYLOR
190,FEMALE,HISPANIC,TIANA
191,FEMALE,HISPANIC,TIFFANY
192,FEMALE,HISPANIC,VALENTINA
193,FEMALE,HISPANIC,VALERIA
194,FEMALE,HISPANIC,VALERIE
195,FEMALE,HISPANIC,VANESSA
196,FEMALE,HISPANIC,VERONICA
197,FEMALE,HISPANIC,VICTORIA
198,FEMALE,HISPANIC,VIOLET
199,FEMALE,HISPANIC,VIVIANA
200,FEMALE,HISPANIC,WENDY
201,FEMALE,HISPANIC,XIMENA
202,FEMALE,HISPANIC,YAMILET
203,FEMALE,HISPANIC,YARETZI
204,FEMALE,HISPANIC,ZOE
205,FEMALE,HISPANIC,ZOEY
206,FEMALE,WHITE NON HISPANIC,ABIGAIL
207,FEMALE,WHITE NON HISPANIC,ADDISON
208,FEMALE,WHITE NON HISPANIC,ADELE
209,FEMALE,WHITE NON HISPANIC,ADELINE
210,FEMALE,WHITE NON HISPANIC,ADINA
211,FEMALE,WHITE NON HISPANIC,ADRIANA
212,FEMALE,WHITE NON HISPANIC,ADRIANNA
213,FEMALE,WHITE NON HISPANIC,AHUVA
214,FEMALE,WHITE NON HISPANIC,ALESSANDRA
215,FEMALE,WHITE NON HISPANIC,ALESSIA
216,FEMALE,WHITE NON HISPANIC,ALEXA
217,FEMALE,WHITE NON HISPANIC,ALEXANDRA
218,FEMALE,WHITE NON HISPANIC,ALEXIS
219,FEMALE,WHITE NON HISPANIC,ALICE
220,FEMALE,WHITE NON HISPANIC,ALICIA
221,FEMALE,WHITE NON HISPANIC,ALINA
222,FEMALE,WHITE NON HISPANIC,ALISA
223,FEMALE,WHITE NON HISPANIC,ALIZA
224,FEMALE,WHITE NON HISPANIC,ALLISON
225,FEMALE,WHITE NON HISPANIC,ALYSSA
226,FEMALE,WHITE NON HISPANIC,AMANDA
227,FEMALE,WHITE NON HISPANIC,AMELIA
228,FEMALE,WHITE NON HISPANIC,AMELIE
229,FEMALE,WHITE NON HISPANIC,AMINA
230,FEMALE,WHITE NON HISPANIC,AMIRA
231,FEMALE,WHITE NON HISPANIC,AMY
232,FEMALE,WHITE NON HISPANIC,ANASTASIA
233,FEMALE,WHITE NON HISPANIC,ANGELICA
234,FEMALE,WHITE NON HISPANIC,ANGELINA
235,FEMALE,WHITE NON HISPANIC,ANNA
236,FEMALE,WHITE NON HISPANIC,ANNABEL
237,FEMALE,WHITE NON HISPANIC,ANNABELLE
238,FEMALE,WHITE NON HISPANIC,ARIANA
239,FEMALE,WHITE NON HISPANIC,ARIANNA
240,FEMALE,WHITE NON HISPANIC,ARIEL
241,FEMALE,WHITE NON HISPANIC,ARIELA
242,FEMALE,WHITE NON HISPANIC,ARIELLA
243,FEMALE,WHITE NON HISPANIC,ASHLEY
244,FEMALE,WHITE NON HISPANIC,ATARA
245,FEMALE,WHITE NON HISPANIC,AUBREY
246,FEMALE,WHITE NON HISPANIC,AUDREY
247,FEMALE,WHITE NON HISPANIC,AUTUMN
248,FEMALE,WHITE NON HISPANIC,AVA
249,FEMALE,WHITE NON HISPANIC,AVERY
250,FEMALE,WHITE NON HISPANIC,AVIGAIL
251,FEMALE,WHITE NON HISPANIC,AVIVA
252,FEMALE,WHITE NON HISPANIC,AYLA
253,FEMALE,WHITE NON HISPANIC,BAILA
254,FEMALE,WHITE NON HISPANIC,BARBARA
255,FEMALE,WHITE NON HISPANIC,BATSHEVA
256,FEMALE,WHITE NON HISPANIC,BATYA
257,FEMALE,WHITE NON HISPANIC,BEATRICE
258,FEMALE,WHITE NON HISPANIC,BELLA
259,FEMALE,WHITE NON HISPANIC,BIANCA
260,FEMALE,WHITE NON HISPANIC,BLAKE
